Date,Skillscore
20-Oct-18,0.2718
27-Oct-18,0.2718
3-Nov-18,0.02993988
10-Nov-18,0.025947948
17-Nov-18,0.2718
24-Nov-18,0.025000391
1-Dec-18,0.019284482
8-Dec-18,0.237202451
15-Dec-18,0.382938583
22-Dec-18,0.434040122
29-Dec-18,0.336153867
5-Jan-19,0.040000374
12-Jan-19,4.54E-05
19-Jan-19,4.54E-05
26-Jan-19,0.31856453
2-Feb-19,0.418200552
9-Feb-19,0.4445488
16-Feb-19,0.478717645
23-Feb-19,0.495249614
2-Mar-19,0.495012534
9-Mar-19,0.955298586
16-Mar-19,0.955298586
23-Mar-19,0.955298586
30-Mar-19,0.955298586
6-Apr-19,0.955298586
13-Apr-19,0.955298586
20-Apr-19,0.955298586
