Date,Skillscore
20-Oct-18,0.057990721
27-Oct-18,0.033994221
3-Nov-18,0.058658455
10-Nov-18,0.084157397
17-Nov-18,0.146763763
24-Nov-18,0.157981042
1-Dec-18,0.303031367
8-Dec-18,0.245731589
15-Dec-18,0.562649057
22-Dec-18,0.483217361
29-Dec-18,0.004018875
5-Jan-19,0.083310839
12-Jan-19,0.052652976
19-Jan-19,4.54E-05
26-Jan-19,4.54E-05
2-Feb-19,4.54E-05
9-Feb-19,4.54E-05
16-Feb-19,4.54E-05
23-Feb-19,4.54E-05
2-Mar-19,4.54E-05
9-Mar-19,4.54E-05
16-Mar-19,1
23-Mar-19,1
30-Mar-19,1
6-Apr-19,1
13-Apr-19,1
20-Apr-19,1
